Score, FavCount, ViewCount, FATs, PoliteTitle, PoliteBody
4, 1, 13118, 6926.583, 0.339368357815, 0.575722646467
3, 1, 1334, 28686.4, 0.311149575725, 0.352874002336
1, 0, 359, 24011.83, 0.443196217495, 0.357371237743
60, 43, 147965, 3081.41, 0.310321490499, 0.436305703755
74, 19, 82613, 130.996, 0.341211450778, 0.534806029794
17, 2, 2721, 215.92, 0.284805159228, 0.605946544104
4, 1, 6251, 210.584, 0.278566645991, 0.333563286423
6, 1, 3927, 1366.57, 0.481866197528, 0.413626511936
29, 9, 43829, 630.103, 0.222106709155, 0.550177412091
346, 143, 59377, 142.383, 0.155185364164, 0.477395296597
2, 0, 1257, 116.874, 0.290973574643, 0.540537705304
18, 4, 12082, 655.187, 0.294355679552, 0.623173101032
3, 0, 2829, 1044.693, 0.271205558999, 0.62524047034
2, 1, 111, 1367.77, 0.252515046068, 0.640047841874
96, 37, 78987, 374.247, 0.195605117663, 0.40438247407
5, 2, 4054, 278.9, 0.32979240374, 0.341171542182
227, 31, 222377, 157.607, 0.248032401972, 0.456481616288
1, 0, 701, 155.113, 0.30681352693, 0.613954679181
2, 0, 1763, 3145.027, 0.254851955275, 0.360179198548
1, 1, 1930, 437.397, 0.311793938567, 0.392017515424
0, 0, 5527, 1065.317, 0.431980127345, 0.584812329047
-3, 0, 92, 288.554, 0.399594334825, 0.484193044745
4, 1, 19702, 185.0, 0.402060100286, 0.458963558232
1, 0, 7956, 503.227, 0.29033731255, 0.62984075074
83, 15, 61139, 446.164, 0.304240876707, 0.494355958828
3, 4, 1489, 1554.347, 0.30681352693, 0.617246292473
32, 9, 27437, 350.877, 0.3552578626, 0.414801793349
4, 1, 514, 158.077, 0.452989552441, 0.644864111275
4, 1, 750, 781.034, 0.33036357686, 0.629382807785
-1, 1, 3493, 340.473, 0.244878106008, 0.46991567933
1, 0, 579, 160.307, 0.321333276464, 0.590118848417
-1, 0, 305, 4722.993, 0.30681352693, 0.514764718376
4, 1, 2354, 324.03, 0.309390337607, 0.455594550436
227, 101, 219439, 48.89, 0.214341688093, 0.567876450335
23, 6, 15836, 154.94, 0.300401744062, 0.42433603224
9, 6, 6222, 115.91, 0.336815734767, 0.36974679132
0, 0, 632, 8400.1, 0.42228092529, 0.5
762, 459, 222189, 165.61, 0.34853694509, 0.34853694509
5, 3, 1056, 327.93, 0.232529581804, 0.647482823852
38, 22, 29689, 91.04, 0.220217331546, 0.483993554777
22, 6, 3156, 295.37, 0.30681352693, 0.622357004503
170, 57, 42602, 103.317, 0.200209549487, 0.594194922182
3, 2, 1439, 514.02, 0.340692122655, 0.374050671696
29, 8, 12235, 4460.04, 0.27840170003, 0.480477637031
