Score, FavCount, ViewCount, FATs, PoliteTitle, PoliteBody
7, 1, 1398, 343.844, 0.167489832234, 0.892929748262
14, 9, 11917, 669.773, 0.352344857238, 0.85703521304
25, 4, 29072, 406.85, 0.309390337607, 0.93279408409
27, 7, 10161, 11260.95, 0.721639805624, 0.945416134327
4, 3, 2232, 546.453, 0.569023867543, 0.877545054682
9, 5, 3308, 26455.63, 0.417018382161, 0.7398208934
25, 7, 22664, 228.854, 0.217382195991, 0.823200801307
0, 0, 917, 492.916, 0.313721105174, 0.746573431413
14, 10, 9596, 1843.51, 0.30681352693, 0.950975369428
4, 2, 5390, 156.394, 0.280940119808, 0.972034681107
5, 1, 1888, 72.323, 0.260510565082, 0.776749147394
3, 0, 2373, 1580.273, 0.299140918959, 0.871453815212
22, 21, 15843, 201.85, 0.193455214737, 0.940710161566
3, 2, 1840, 886.99, 0.452900853791, 0.886945239287
2, 1, 5557, 567.937, 0.308869139197, 0.81538929978
1, 1, 6947, 137.297, 0.304240876707, 0.948395069428
6, 2, 1008, 142.15, 0.341094409977, 0.994583067962
14, 0, 9359, 24959.66, 0.30681352693, 0.942863566345
1, 0, 180, 350.77, 0.360463296765, 0.986626908664
2, 1, 285, 329.63, 0.30681352693, 0.720710801295
6, 0, 1182, 186.797, 0.5, 0.91308769474
3, 0, 5608, 398.567, 0.343627412905, 0.839347315181
5, 3, 2492, 666.654, 0.341571931703, 0.957057518884
3, 1, 680, 1659.367, 0.310970270278, 0.903404304998
1, 0, 1939, 218.73, 0.385250223802, 0.714676170601
0, 0, 1352, 270.427, 0.30681352693, 0.948639355568
2, 0, 551, 199.823, 0.30681352693, 0.896828791906
0, 0, 519, 268.493, 0.343808834399, 0.840240221359
3, 2, 633, 9470.854, 0.148629157146, 0.961972265328
11, 8, 8618, 1057.83, 0.280770078479, 0.819873567852
2, 1, 4979, 718.277, 0.345098225346, 0.854832634274
4, 1, 2655, 342.486, 0.232517263904, 0.892982484569
28, 14, 22511, 663.503, 0.363886495791, 0.791784235093
3, 1, 315, 426.834, 0.31333251019, 0.847102943223
1, 0, 1570, 152.477, 0.195761894663, 0.913281211536
5, 1, 5777, 457.706, 0.288813247341, 0.927032173393
10, 1, 2648, 133.413, 0.34000059522, 0.854428962791
2, 0, 1476, 2301.81, 0.163246163849, 0.938548242536
99, 46, 122064, 117.95, 0.361529160158, 0.94738431531
50, 10, 10495, 1824.543, 0.429871310161, 0.868994567517
2, 5, 2734, 3223516.043, 0.309390337607, 0.897937071744
3, 6, 2662, 197.903, 0.355667371672, 0.752819965423
2, 0, 3130, 365.336, 0.299491367742, 0.722171666058
19, 12, 6981, 291.314, 0.30681352693, 0.78602292035
28, 10, 9860, 602.863, 0.312118968477, 0.859141075933
4, 4, 21953, 100.467, 0.28543019941, 0.956755772005
26, 9, 29606, 522.09, 0.453147655837, 0.828217531624
7, 2, 23637, 139.197, 0.312721836089, 0.980150163386
8, 2, 16598, 175.783, 0.286446587192, 0.912619434537
0, 0, 1317, 890.953, 0.31461633478, 0.749844085033
12, 7, 10883, 796.743, 0.304240876707, 0.949219829098
3, 0, 8418, 1023.757, 0.334858235271, 0.754181670185
43, 19, 46664, 1015.003, 0.345400596267, 0.956678748279
11, 7, 3365, 252.207, 0.315874924403, 0.76769240799
2, 0, 1750, 8327.176, 0.509207396188, 0.931139678058
5, 2, 2819, 409.58, 0.434545355396, 0.894976114972
46, 19, 47639, 70434.933, 0.312598688425, 0.704792324623
8, 0, 10315, 126.75, 0.227607126939, 0.970075890905
1, 1, 4151, 293.606, 0.304240876707, 0.940431062776
1, 0, 658, 247.866, 0.815179297735, 0.935103012481
20, 4, 17510, 655.837, 0.304240876707, 0.873094137401
56, 17, 23360, 381.14, 0.117697547653, 0.919892445725
340, 96, 122671, 194.61, 0.491346213541, 0.961550994657
50, 18, 6385, 221.303, 0.371763782959, 0.781003018003
11, 9, 1140, 455.85, 0.397147218867, 0.69791082176
4, 1, 999, 51254.206, 0.30307860194, 0.976104402773
5, 4, 55158, 99.2, 0.396793551905, 0.847748506373
5, 3, 4293, 394.43, 0.30681352693, 0.820862190579
0, 0, 256, 174.25, 0.21645725507, 0.983140027776
1, 1, 305, 2985.53, 0.234500788144, 0.978709517931
13, 2, 2788, 177.2, 0.73914347986, 0.926423335575
5, 1, 4052, 92.99, 0.286363860436, 0.950015352651
18, 5, 3714, 9804.256, 0.299142511066, 0.902214659661
5, 1, 884, 148.387, 0.280844048684, 0.938057154519
93, 38, 43564, 426.3, 0.313781971012, 0.701508712235
6, 0, 7780, 422.26, 0.344537664256, 0.79073503756
14, 5, 6845, 7443.18, 0.30681352693, 0.911570700242
10, 9, 2645, 2839.577, 0.358780702335, 0.670797420588
251, 108, 123338, 430.827, 0.312589050801, 0.791626077322
3, 0, 696, 1009.493, 0.268826506367, 0.900024824228
2, 0, 2169, 169.62, 0.445780261673, 0.881647582589
37, 10, 18784, 195.483, 0.187555689581, 0.918506585289
6, 4, 3257, 1070.69, 0.408898408266, 0.959340739198
27, 8, 27930, 706.1, 0.365395872922, 0.72536219448
6, 0, 2473, 551.54, 0.266274012241, 0.825147037882
3, 0, 2921, 641.8, 0.393085499312, 0.857312185529
16, 5, 2112, 326.71, 0.295484264683, 0.92698251449
39, 24, 25489, 3617.997, 0.36591659845, 0.783775866852
36, 21, 16219, 1125.837, 0.30681352693, 0.818041412393
37, 12, 6254, 630.66, 0.508599004753, 0.996593977373
60, 21, 60679, 232.47, 0.205923304039, 0.958445803299
1, 0, 171, 901.837, 0.305556388338, 0.967581259061
16, 3, 5383, 40.233, 0.146148130988, 0.815687773039
35, 12, 21273, 460.933, 0.277767494198, 0.700583752161
9, 1, 3884, 2233.954, 0.310749287564, 0.888672140167
7, 0, 1667, 57.266, 0.450364474031, 0.841230805723
3, 1, 1518, 13802.117, 0.33276055142, 0.888811391537
119, 46, 9805, 377.287, 0.366079194425, 0.805725349524
12, 0, 13865, 987.217, 0.268600636994, 0.696298482459
4, 0, 1840, 323.687, 0.282144851082, 0.860399696677
18, 13, 16609, 2641.703, 0.521063896465, 0.785848910929
2, 1, 2363, 2709.674, 0.30681352693, 0.952932335152
8, 0, 2410, 572.474, 0.319847259609, 0.901011158513
25, 22, 11897, 933.58, 0.304240876707, 0.931228037984
4, 2, 2302, 1455.48, 0.220073316887, 0.816663851456
11, 4, 904, 1555.13, 0.348867661205, 0.98559702654
1, 0, 295, 253.406, 0.65365987368, 0.796850631555
150, 51, 69459, 103.507, 0.508464277245, 0.837657342097
33, 9, 41601, 161.04, 0.300520699865, 0.946234988648
31, 13, 32830, 254.373, 0.380825064629, 0.8488074705
2, 0, 1650, 2044.596, 0.284738432977, 0.898372572414
107, 56, 48106, 319.394, 0.525855476947, 0.994062191244
1, 0, 777, 414.803, 0.485936285768, 0.798368219862
7, 0, 3591, 104.083, 0.341523029478, 0.699472852906
5, 0, 1572, 2092.663, 0.488141575371, 0.898715135185
106, 88, 82223, 249.804, 0.340276118741, 0.831849201752
19, 6, 11386, 561.786, 0.248524247999, 0.806883671608
2, 0, 2301, 1522.936, 0.246999622347, 0.883474743564
3, 0, 252, 72.963, 0.18038306941, 0.742662114452
12, 4, 4110, 172.817, 0.293464452416, 0.980255532344
3, 0, 604, 666.247, 0.334026059023, 0.929348742818
9, 2, 5653, 58615.49, 0.240919559677, 0.834553746393
17, 6, 11038, 432.464, 0.351988824555, 0.735492333258
11, 4, 22962, 421.026, 0.424237655215, 0.877887367525
4, 0, 314, 228.336, 0.307169089121, 0.747611262132
5, 0, 2620, 3849.177, 0.53785975645, 0.987127381325
12, 8, 8085, 295.857, 0.408701916136, 0.758428555632
45, 16, 28396, 346.63, 0.30681352693, 0.902623501327
3, 0, 403, 292.72, 0.528862386088, 0.745282261223
4, 6, 4021, 38621.73, 0.253606432282, 0.962636161831
6, 0, 3852, 744.184, 0.358187351211, 0.978512598508
2, 1, 9289, 75.02, 0.304240876707, 0.9641353931
14, 5, 4063, 277.476, 0.30681352693, 0.924029940292
0, 1, 1164, 1338.073, 0.146587693188, 0.737165171907
25, 12, 10012, 162.46, 0.198968700283, 0.969288726745
2, 0, 1182, 14282.547, 0.230043776185, 0.979591363327
12, 2, 2004, 189.476, 0.463142602955, 0.849982505742
6, 1, 1390, 10265.343, 0.425437858106, 0.976192569831
12, 1, 5368, 416.253, 0.412806735084, 0.778445066286
7, 1, 2321, 196.013, 0.30681352693, 0.955982622022
0, 0, 281, 68.436, 0.452828967319, 0.950719927226
41, 10, 79848, 107.547, 0.358942498335, 0.907473262492
48, 33, 32663, 374.96, 0.43281199333, 0.811988785813
5, 0, 5947, 1134.934, 0.238909697889, 0.744341919493
1, 0, 95, 496.503, 0.263787584793, 0.729828402767
7, 1, 2795, 3055.247, 0.358186561233, 0.977559146318
3, 2, 16715, 473.477, 0.318680625611, 0.862903992019
12, 6, 35987, 559.213, 0.309390337607, 0.770555248651
15, 7, 11258, 8394.236, 0.448643582507, 0.855306940177
7, 4, 3666, 760.78, 0.341094409977, 0.810063053204
6, 2, 7864, 147.157, 0.346918856529, 0.932814773869
2, 0, 2211, 597.45, 0.30681352693, 0.850031500983
3, 0, 436, 637.68, 0.306286868399, 0.990994226945
