Score, FavCount, ViewCount, FATs, PoliteTitle, PoliteBody
25, 4, 29072, 406.85, 0.309390337607, 0.93279408409
4, 1, 13118, 6926.583, 0.339368357815, 0.575722646467
27, 7, 10161, 11260.95, 0.721639805624, 0.945416134327
9, 5, 3308, 26455.63, 0.417018382161, 0.7398208934
1, 0, 359, 24011.83, 0.443196217495, 0.357371237743
60, 43, 147965, 3081.41, 0.310321490499, 0.436305703755
5, 1, 1888, 72.323, 0.260510565082, 0.776749147394
74, 19, 82613, 130.996, 0.341211450778, 0.534806029794
3, 2, 1840, 886.99, 0.452900853791, 0.886945239287
4, 1, 6251, 210.584, 0.278566645991, 0.333563286423
6, 1, 3927, 1366.57, 0.481866197528, 0.413626511936
2, 1, 5557, 567.937, 0.308869139197, 0.81538929978
1, 0, 180, 350.77, 0.360463296765, 0.986626908664
3, 0, 5608, 398.567, 0.343627412905, 0.839347315181
18, 4, 12082, 655.187, 0.294355679552, 0.623173101032
2, 1, 111, 1367.77, 0.252515046068, 0.640047841874
96, 37, 78987, 374.247, 0.195605117663, 0.40438247407
227, 31, 222377, 157.607, 0.248032401972, 0.456481616288
3, 2, 633, 9470.854, 0.148629157146, 0.961972265328
11, 8, 8618, 1057.83, 0.280770078479, 0.819873567852
4, 1, 2655, 342.486, 0.232517263904, 0.892982484569
0, 0, 5527, 1065.317, 0.431980127345, 0.584812329047
28, 14, 22511, 663.503, 0.363886495791, 0.791784235093
1, 0, 7956, 503.227, 0.29033731255, 0.62984075074
83, 15, 61139, 446.164, 0.304240876707, 0.494355958828
2, 0, 1476, 2301.81, 0.163246163849, 0.938548242536
3, 4, 1489, 1554.347, 0.30681352693, 0.617246292473
3, 6, 2662, 197.903, 0.355667371672, 0.752819965423
2, 0, 3130, 365.336, 0.299491367742, 0.722171666058
4, 1, 750, 781.034, 0.33036357686, 0.629382807785
28, 10, 9860, 602.863, 0.312118968477, 0.859141075933
11, 7, 3365, 252.207, 0.315874924403, 0.76769240799
46, 19, 47639, 70434.933, 0.312598688425, 0.704792324623
8, 0, 10315, 126.75, 0.227607126939, 0.970075890905
227, 101, 219439, 48.89, 0.214341688093, 0.567876450335
56, 17, 23360, 381.14, 0.117697547653, 0.919892445725
50, 18, 6385, 221.303, 0.371763782959, 0.781003018003
11, 9, 1140, 455.85, 0.397147218867, 0.69791082176
5, 3, 1056, 327.93, 0.232529581804, 0.647482823852
38, 22, 29689, 91.04, 0.220217331546, 0.483993554777
22, 6, 3156, 295.37, 0.30681352693, 0.622357004503
5, 1, 4052, 92.99, 0.286363860436, 0.950015352651
170, 57, 42602, 103.317, 0.200209549487, 0.594194922182
93, 38, 43564, 426.3, 0.313781971012, 0.701508712235
3, 2, 1439, 514.02, 0.340692122655, 0.374050671696
10, 9, 2645, 2839.577, 0.358780702335, 0.670797420588
251, 108, 123338, 430.827, 0.312589050801, 0.791626077322
3, 0, 696, 1009.493, 0.268826506367, 0.900024824228
3, 0, 4414, 1994.04, 0.181953524566, 0.189542100225
29, 8, 12235, 4460.04, 0.27840170003, 0.480477637031
6, 0, 2473, 551.54, 0.266274012241, 0.825147037882
3, 0, 2921, 641.8, 0.393085499312, 0.857312185529
39, 24, 25489, 3617.997, 0.36591659845, 0.783775866852
36, 21, 16219, 1125.837, 0.30681352693, 0.818041412393
37, 12, 6254, 630.66, 0.508599004753, 0.996593977373
60, 21, 60679, 232.47, 0.205923304039, 0.958445803299
9, 1, 3884, 2233.954, 0.310749287564, 0.888672140167
119, 46, 9805, 377.287, 0.366079194425, 0.805725349524
426, 292, 115347, 470.276, 0.268452715491, 0.151458579761
88, 21, 86912, 181.21, 0.359783515606, 0.433015944897
39, 19, 24874, 1728.54, 0.366683298342, 0.481470837841
18, 13, 16609, 2641.703, 0.521063896465, 0.785848910929
2, 1, 2363, 2709.674, 0.30681352693, 0.952932335152
8, 0, 2410, 572.474, 0.319847259609, 0.901011158513
25, 22, 11897, 933.58, 0.304240876707, 0.931228037984
26, 4, 53179, 236.98, 0.321333276464, 0.281891242118
37, 4, 29095, 291.143, 0.235499455113, 0.289263074796
148, 71, 97113, 523.16, 0.19494755835, 0.579105190827
3, 0, 2411, 637.354, 0.31343489059, 0.367461884862
150, 51, 69459, 103.507, 0.508464277245, 0.837657342097
33, 9, 41601, 161.04, 0.300520699865, 0.946234988648
25, 8, 5763, 517.64, 0.30681352693, 0.523109674149
2, 0, 1650, 2044.596, 0.284738432977, 0.898372572414
1, 0, 777, 414.803, 0.485936285768, 0.798368219862
7, 0, 3591, 104.083, 0.341523029478, 0.699472852906
3, 0, 1364, 3095.744, 0.244789570098, 0.32743968575
106, 88, 82223, 249.804, 0.340276118741, 0.831849201752
2, 0, 2301, 1522.936, 0.246999622347, 0.883474743564
111, 15, 55519, 209.96, 0.427974021296, 0.442896582613
9, 1, 2377, 87.234, 0.33744420464, 0.570431766353
3, 0, 604, 666.247, 0.334026059023, 0.929348742818
9, 2, 5653, 58615.49, 0.240919559677, 0.834553746393
492, 172, 103215, 76.58, 0.316223187495, 0.457986533414
100, 72, 36908, 42882.293, 0.289896952307, 0.885946504946
11, 2, 1192, 203.44, 0.573593062914, 0.59481349222
4, 0, 1304, 7259.68, 0.241033882974, 0.848666760432
9, 7, 23126, 371.39, 0.454348852804, 0.867520603506
718, 239, 209719, 373.777, 0.304240876707, 0.564762478019
33, 15, 35748, 1206.85, 0.337530297467, 0.387544881545
18, 5, 3579, 703652.174, 0.393081467356, 0.958206338145
60, 9, 98104, 175.19, 0.22617915826, 0.970640063858
56, 24, 49380, 1421.893, 0.338614130456, 0.736276547125
11, 1, 2003, 424.554, 0.555823904708, 0.741488735421
7, 1, 10307, 122.616, 0.268976912499, 0.54196838447
40, 12, 43476, 2663.09, 0.644550419131, 0.838105526729
11, 9, 2526, 6953.654, 0.421773740375, 0.944813289252
1, 0, 3389, 298.77, 0.304240876707, 0.88707539204
117, 10, 76006, 576.764, 0.222265661999, 0.90658375803
9, 4, 14545, 4703.277, 0.33036357686, 0.742596140323
651, 251, 482530, 113.506, 0.362709997353, 0.570691106504
0, 0, 1297, 12519.233, 0.491412385575, 0.665074022202
3, 1, 6198, 470.87, 0.304240876707, 0.693141078704
46, 19, 21809, 516.517, 0.30681352693, 0.907066670388
14, 11, 21310, 5968.42, 0.25715726046, 0.804310629355
5, 0, 934, 3137.754, 0.309390337607, 0.769301828711
46, 9, 10223, 368.206, 0.312890076074, 0.378332875811
40, 6, 21823, 113.336, 0.320935248006, 0.653275287417
254, 73, 36652, 3892.027, 0.362563462599, 0.845371450383
147, 55, 117955, 432.477, 0.266277660183, 0.89948952661
0, 0, 201, 774.21, 0.337831253431, 0.735121373955
57, 22, 27956, 1601.293, 0.627344328806, 0.865694946577
0, 0, 1218, 8217.736, 0.358186561233, 0.561804269107
3, 1, 3467, 18915.0, 0.339166711777, 0.824320935129
16, 15, 8052, 2832.68, 0.315806260019, 0.926751768519
1, 0, 770, 706.104, 0.30681352693, 0.337106708782
44, 17, 74635, 152.8, 0.354308678115, 0.783843863759
12, 2, 9858, 1084.19, 0.667493202132, 0.972336947942
1, 0, 620, 4084.823, 0.722068137262, 0.933768267748
35, 6, 9339, 325.59, 0.30681352693, 0.418021931761
4, 2, 2841, 230.803, 0.394901904728, 0.991227405188
8, 2, 7860, 546.454, 0.22073721764, 0.553711458206
2, 0, 953, 329898.913, 0.232703031412, 0.611242635183
5, 1, 2035, 329.52, 0.433441802282, 0.263554937526
498, 203, 513071, 285.827, 0.332515200139, 0.402597556055
1, 0, 2534, 329.286, 0.268191019757, 0.832525209778
261, 79, 119624, 204.067, 0.283642959495, 0.293332283364
2, 0, 2431, 82.4, 0.291051256291, 0.683801922857
4, 1, 2072, 1061.023, 0.401413751015, 0.928397055948
23, 15, 10249, 1256.976, 0.341094409977, 0.347270826047
5, 0, 2986, 1789.487, 0.334497392597, 0.630266023961
4, 1, 3262, 1244.526, 0.33341441651, 0.90652898165
12, 2, 7015, 126.704, 0.40458125921, 0.810852397192
94, 43, 124809, 241.757, 0.30681352693, 0.244554938961
9, 1, 1676, 160.853, 0.276656129739, 0.718049474357
107, 13, 40109, 248.337, 0.322192264679, 0.913856363517
15, 4, 9904, 1257.134, 0.30681352693, 0.620828315346
17, 11, 11469, 3927.433, 0.353139129521, 0.888740041717
27, 8, 14726, 498.174, 0.337038350259, 0.528956837829
4, 0, 1672, 1560.993, 0.270731787145, 0.930810291949
5, 1, 4654, 187.796, 0.313743461599, 0.682966712658
1, 0, 1333, 1028.437, 0.509761794445, 0.987510693542
19, 23, 4396, 21679.723, 0.33036357686, 0.372642059266
139, 25, 101226, 296.853, 0.306865588112, 0.638811997825
6, 9, 4948, 8076.947, 0.328029721779, 0.17239756468
6, 4, 5460, 176.577, 0.26706422759, 0.544862369239
3, 0, 403, 292.72, 0.528862386088, 0.745282261223
1, 0, 424, 193.456, 0.329731467408, 0.524014044513
0, 1, 1164, 1338.073, 0.146587693188, 0.737165171907
508, 124, 267165, 77.923, 0.278622333932, 0.451188114755
5, 5, 3683, 19841.046, 0.313760441412, 0.511008220783
1, 0, 95, 496.503, 0.263787584793, 0.729828402767
12, 6, 35987, 559.213, 0.309390337607, 0.770555248651
36, 19, 16130, 496.377, 0.187081953034, 0.576439700585
4, 0, 1357, 607.153, 0.28237460983, 0.762373021974
11, 6, 4230, 601.897, 0.30681352693, 0.611025377778
0, 0, 5055, 3595.894, 0.270128278995, 0.999989673026
187, 45, 51488, 347.21, 0.299140918959, 0.492408346518
29, 1, 6431, 521.337, 0.41925512319, 0.765831909878
24, 8, 10946, 2323.51, 0.397066227069, 0.80513206878
0, 0, 249, 510707.557, 0.290882552054, 0.67020682643
2, 0, 242, 7067.567, 0.321333276464, 0.471942088631
40, 22, 23113, 10515.274, 0.30681352693, 0.582933099515
36, 8, 61103, 145.08, 0.304240876707, 0.847978620002
8, 1, 6202, 1950.187, 0.301939028576, 0.528519840434
0, 0, 572, 315.884, 0.247101357443, 0.770209005761
7, 1, 4610, 897.704, 0.338760345128, 0.631930295934
1, 0, 601, 1262.68, 0.521769837936, 0.39771296235
33, 11, 8938, 1116.9, 0.280844048684, 0.92802813343
12, 1, 5139, 856.19, 0.253377344297, 0.770845653071
0, 0, 713, 40699.31, 0.408345253052, 0.766251199889
6, 5, 3149, 470.853, 0.30681352693, 0.948992381052
1, 0, 698, 1021.41, 0.411955223209, 0.641184192121
11, 3, 6519, 1088.94, 0.304240876707, 0.869380737701
14, 3, 28459, 341.936, 0.322010037665, 0.638440662413
5, 1, 1797, 372.014, 0.67561077235, 0.833574049113
6, 1, 302, 136103.387, 0.358489879289, 0.802750378359
68, 26, 55411, 363.544, 0.398547555058, 0.794088063102
13, 7, 7001, 816.113, 0.30681352693, 0.870399558644
4, 0, 961, 1094.95, 0.436060939864, 0.97197954024
5, 2, 4980, 4196.257, 0.345332880365, 0.964074208598
7, 6, 5470, 14946.066, 0.359343211517, 0.912694880331
13, 4, 5908, 512.104, 0.30681352693, 0.647188529716
56, 25, 23038, 23481.287, 0.390241051288, 0.738091714755
10, 2, 4690, 1000.326, 0.194447660886, 0.573044578071
6, 5, 1808, 895.353, 0.170033582561, 0.690908856699
3, 3, 759, 653.363, 0.20832721523, 0.616367892936
2, 0, 2067, 4668.893, 0.30681352693, 0.613495918168
102, 38, 98139, 285.547, 0.271492330487, 0.813260219046
3, 2, 431, 316.934, 0.307993531987, 0.611768131081
2, 0, 1451, 543.943, 0.337024044459, 0.798033778706
2, 1, 4641, 1034.567, 0.332458292561, 0.864978217462
6, 3, 4263, 572.477, 0.365395872922, 0.873906444142
8, 1, 3197, 352.28, 0.166413461091, 0.533677633628
16, 10, 2353, 289.273, 0.679618590849, 0.993810066228
9, 1, 972, 459.58, 0.253928642612, 0.781260941002
24, 8, 13819, 10.623, 0.242698779147, 0.521958296674
54, 11, 20023, 837.1, 0.762680574623, 0.616305742694
2, 0, 2573, 631.977, 0.242004442448, 0.927828509635
20, 5, 1408, 1909.653, 0.357752963391, 0.56470747599
9, 1, 1337, 398.677, 0.394004610445, 0.228395831847
1, 0, 830, 1488.437, 0.290114007755, 0.833674282257
24, 13, 14039, 1222.36, 0.589856043284, 0.883863447531
7, 3, 4144, 255.497, 0.686803324732, 0.863565129686
9, 7, 4588, 10012.83, 0.690693215192, 0.83044893299
2, 0, 1852, 688.043, 0.2484665216, 0.817182149653
4, 4, 1313, 781.923, 0.528253011276, 0.817775687571
69, 11, 10959, 199.603, 0.256941390968, 0.816172108009
5, 0, 1421, 89.886, 0.258182415024, 0.701459001862
-1, 1, 3990, 846.476, 0.317352758891, 0.858319051042
3, 2, 2090, 6336.543, 0.30681352693, 0.604538340894
7, 3, 8076, 325.573, 0.264198462839, 0.52847338047
5, 3, 15143, 544.27, 0.31423607625, 0.584055193587
47, 6, 5773, 457.923, 0.304240876707, 0.895560062747
14, 0, 1769, 6337.463, 0.356265076552, 0.693661888092
21, 12, 9398, 6429.24, 0.36297843413, 0.794076006702
35, 13, 8210, 781.673, 0.370322359945, 0.924564912718
17, 4, 18942, 147.886, 0.46853787153, 0.384269098974
25, 0, 6894, 4293.867, 0.269722363247, 0.144582253027
26, 9, 12151, 6296.92, 0.304240876707, 0.969103133044
12, 1, 2196, 2900.243, 0.280844048684, 0.376803362797
205, 97, 86900, 779.366, 0.277490565898, 0.571166290685
324, 191, 89396, 801.47, 0.330767074085, 0.950320614341
42, 37, 16703, 538.533, 0.223397580903, 0.9764739438
228, 27, 103230, 337.29, 0.269475260644, 0.605568282284
16, 1, 1671, 3695.133, 0.364279973188, 0.534945181131
8, 0, 13496, 931.437, 0.150880961003, 0.943382138874
221, 49, 69568, 224.843, 0.412568812668, 0.494461674285
80, 41, 22479, 21.373, 0.339578236153, 0.619147272856
23, 3, 962, 524.757, 0.660743171148, 0.700423283882
18, 2, 2753, 290.943, 0.404116338193, 0.941907737009
151, 127, 75218, 504.6, 0.425656066143, 0.892278513409
618, 198, 232084, 1268.193, 0.345428277816, 0.410806589835
327, 490, 100921, 440.343, 0.33918692511, 0.956866218491
10, 2, 13429, 9642.593, 0.317459175048, 0.831866155797
4, 1, 657, 442.06, 0.205514469096, 0.377296318376
11, 5, 25110, 1001.324, 0.397856232967, 0.833949655326
4, 0, 1634, 7761.816, 0.275433606047, 0.952901094789
8, 0, 1583, 182.74, 0.345204889207, 0.873919970938
16, 4, 17953, 680.46, 0.306805643694, 0.862192506099
57, 20, 35387, 325.447, 0.437384096396, 0.879163163427
23, 20, 18426, 383.073, 0.335786265152, 0.958268045906
7, 0, 589, 9604.827, 0.338047885848, 0.974854898939
38, 29, 7633, 384.01, 0.365395872922, 0.420947114473
7, 3, 3313, 610566.717, 0.366248576033, 0.749363571741
153, 58, 145371, 696.73, 0.231073622766, 0.402179494124
10, 0, 7854, 502.184, 0.454388003737, 0.852529326216
73, 37, 49709, 964.866, 0.33036357686, 0.784934730279
6, 0, 2987, 592.227, 0.178313425824, 0.705322982032
16, 2, 4041, 304.267, 0.311518103187, 0.893469795259
5, 1, 1571, 47733.154, 0.270005257826, 0.865422677497
24, 2, 2632, 1255.916, 0.646446157034, 0.85052531562
6, 0, 560, 1175.47, 0.280844048684, 0.33732401569
3, 0, 489, 506.863, 0.371289231243, 0.67736393005
7, 2, 4385, 181.976, 0.23267511949, 0.39687448536
8, 0, 1911, 2441.93, 0.330992788257, 0.695947771072
52, 33, 6446, 1082.413, 0.715266317641, 0.806839216488
31, 7, 25548, 742.753, 0.3686839044, 0.96465879339
3, 2, 3104, 851.5, 0.451439675801, 0.588542944686
1, 1, 1331, 1940.407, 0.492600461012, 0.445644570306
46, 26, 11252, 853.32, 0.46236098117, 0.883323093476
10, 10, 6355, 4853.313, 0.337362771871, 0.883583937217
5, 1, 6644, 17803.333, 0.42351852857, 0.391732534743
413, 96, 274528, 185.36, 0.176323315594, 0.483878232984
161, 18, 161654, 115.004, 0.367931810058, 0.284383110605
15, 2, 7367, 696.81, 0.30681352693, 0.994003768607
7, 4, 7460, 799.367, 0.42351852857, 0.788769836775
6, 0, 423, 145906.847, 0.252975033226, 0.624281502194
12, 4, 4551, 259.88, 0.227715708932, 0.80842958919
47, 16, 21954, 714.377, 0.280844048684, 0.651462191342
1, 2, 7624, 636.344, 0.246631563086, 0.526298826489
1, 1, 626, 3876.814, 0.257840092298, 0.28395960011
2, 0, 612, 692.27, 0.461240206634, 0.980497131825
1, 0, 320, 1594.91, 0.356614446128, 0.972453513418
128, 70, 54716, 948.377, 0.3860235064, 0.991379535485
28, 6, 16097, 589.293, 0.280940119808, 0.978806557727
1, 1, 2800, 4987.37, 0.53278220083, 0.5
4, 2, 1282, 170.934, 0.24708579246, 0.724887758312
16, 4, 12845, 5595.363, 0.553155856068, 0.775838513296
7, 2, 5327, 114.13, 0.328611693684, 0.871237971327
3, 0, 3009, 41540.023, 0.345169333831, 0.359588062937
1, 2, 1479, 1009.03, 0.251796805568, 0.68917082069
0, 0, 705, 133.007, 0.4317386052, 0.966114582518
9, 3, 3101, 903.963, 0.367926865249, 0.944901894332
7, 2, 4349, 2916.034, 0.535730515348, 0.406993352485
5, 0, 998, 346.574, 0.346591245676, 0.763360212663
1, 0, 454, 56762.523, 0.355459259041, 0.78524134553
171, 46, 6809, 331.427, 0.355395663802, 0.710566406814
5, 3, 3406, 14897.55, 0.358186561233, 0.951464149984
36, 32, 24353, 3859.45, 0.373393545266, 0.898276094769
18, 10, 2269, 2598.743, 0.340855356172, 0.765947833753
13, 2, 2391, 555.66, 0.327943359312, 0.788135045684
12, 3, 5418, 65472.857, 0.304240876707, 0.953164252972
31, 19, 20129, 93.317, 0.239089783091, 0.908033967951
4, 2, 476, 23849.54, 0.302764920482, 0.979885221383
4, 2, 4520, 228.29, 0.487092515754, 0.887359818643
8, 6, 3287, 185.376, 0.623120317658, 0.985465912616
18, 11, 17629, 34718054.393, 0.299485338289, 0.827637049091
9, 1, 878, 30885.623, 0.625158990758, 0.680884209112
15, 5, 16045, 277.09, 0.33036357686, 0.932417413722
2, 2, 3861, 3278.767, 0.419688412024, 0.773381605186
3, 3, 3339, 1681.66, 0.291344716558, 0.991781219917
93, 68, 19532, 869.174, 0.37696271026, 0.617005971842
4, 3, 808, 5146.847, 0.68131119272, 0.728699642343
31, 7, 7639, 206.5, 0.275239485858, 0.193051588113
31, 15, 29534, 1029.327, 0.221872352422, 0.781875848495
47, 14, 12816, 3702.84, 0.337392336975, 0.741639518499
4, 1, 2632, 1854.137, 0.348680410958, 0.741432378047
4, 0, 1560, 307.93, 0.338064717872, 0.97545723802
344, 136, 258131, 175.53, 0.62147574455, 0.687810187612
5, 0, 1784, 250.756, 0.379739718746, 0.732102384979
36, 17, 25785, 524.117, 0.316147981214, 0.758470688058
1, 0, 308, 820.3, 0.340735695233, 0.995162475582
9, 0, 3298, 321.267, 0.283961242685, 0.877709258586
8, 4, 3407, 11044.263, 0.359799725026, 0.775238862287
1, 0, 288, 294.217, 0.284706578593, 0.641974593235
4, 1, 3662, 794.14, 0.254854406749, 0.898786684261
17, 5, 1945, 541.306, 0.674761692806, 0.78293181981
24, 10, 48587, 200.117, 0.453501714088, 0.398615464572
4, 2, 485, 691.723, 0.321333276464, 0.789738498003
1, 3, 1073, 1771.436, 0.395789118024, 0.983909796427
4, 0, 881, 436.804, 0.248952128561, 0.688289913687
5, 1, 326, 540.247, 0.444002242258, 0.809565369402
7, 0, 3428, 422.406, 0.258045556822, 0.768494790157
4, 1, 2004, 194.223, 0.358186561233, 0.565741459526
4, 1, 1672, 14813.794, 0.335286162631, 0.93108490968
108, 15, 29186, 66.877, 0.360146070448, 0.165538078162
3, 0, 2117, 3117.384, 0.170106919635, 0.852666017679
12, 5, 2881, 36827.936, 0.319253491455, 0.589704520026
2, 1, 1127, 6908.394, 0.561473074825, 0.981790847001
2, 3, 2497, 201.787, 0.491651433465, 0.798711077963
31, 26, 12788, 2913.38, 0.309390337607, 0.994038174067
4, 1, 3389, 649.96, 0.0995880054483, 0.513572997057
131, 82, 26986, 287.247, 0.168758839135, 0.63751092637
11, 0, 1400, 406.46, 0.349883624473, 0.818982806062
14, 9, 52512, 396.506, 0.121508555099, 0.950442394102
6, 1, 969, 2915.503, 0.541213408591, 0.361001089809
2, 2, 2940, 285.734, 0.34877349392, 0.908501712479
3, 0, 3910, 201.43, 0.28958195653, 0.960278833689
78, 41, 55281, 8692.984, 0.312777476192, 0.66649704509
1, 0, 3539, 392.514, 0.308894059523, 0.739492696576
3, 0, 1341, 323.454, 0.242761457844, 0.766549311558
3, 1, 1484, 4437.697, 0.349782416864, 0.901603638039
8, 1, 7126, 249.023, 0.390653002955, 0.629937636626
11, 3, 25610, 340.63, 0.333790568861, 0.436509148231
17, 4, 11710, 245.263, 0.274347684756, 0.552982009393
58, 30, 50992, 172.477, 0.578169346036, 0.927361441168
103, 64, 132151, 1747.413, 0.320916733735, 0.796867855857
2, 0, 1435, 35298.923, 0.296777054761, 0.279992687876
0, 0, 377, 5178.233, 0.282904371641, 0.425856449911
2, 5, 1219, 955.54, 0.348922706271, 0.903787502292
